GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cdmi-server,edu.kit.scc.auth,CustomUserDetailsService,0,46,0,2,0,7,0,4,0,3
cdmi-server,edu.kit.scc.auth,OidcAuthenticationFilter,90,43,7,1,20,12,4,4,0,4
cdmi-server,edu.kit.scc.auth,WebSecurityConfiguration,0,28,0,0,0,6,0,3,0,3
cdmi-server,org.snia.cdmiserver.util,MediaTypes,3,0,0,0,1,0,1,0,1,0
cdmi-server,org.snia.cdmiserver.util,ObjectId,9,155,1,11,2,29,2,7,1,2
cdmi-server,edu.kit.scc.filesystem,FilesystemBeanConfiguration,0,72,0,0,0,22,0,6,0,6
cdmi-server,edu.kit.scc.filesystem,FilesystemBackendFactory,5,19,0,0,1,5,1,3,1,3
cdmi-server,edu.kit.scc.filesystem,FilesystemBackend.new TimerTask() {...},62,0,0,0,9,0,2,0,2,0
cdmi-server,edu.kit.scc.filesystem,FilesystemBackend,184,247,38,4,40,49,22,6,2,5
cdmi-server,edu.kit.scc.filesystem,FilesystemConfiguration,6,350,0,12,2,62,0,10,0,4
cdmi-server,org.snia.cdmiserver.dao.filesystem,DomainDaoImpl,39,15,0,0,10,6,7,4,7,4
cdmi-server,org.snia.cdmiserver.dao.filesystem,CapabilityDaoImpl,15,170,1,7,6,39,3,10,2,7
cdmi-server,org.snia.cdmiserver.dao.filesystem,ContainerDaoImpl,17,240,2,8,5,53,4,12,2,9
cdmi-server,org.snia.cdmiserver.dao.filesystem,CdmiObjectDaoImpl,65,434,6,22,19,96,9,23,3,15
cdmi-server,org.snia.cdmiserver.dao.filesystem,DataObjectDaoImpl,107,228,6,8,27,53,9,12,4,10
cdmi-server,edu.kit.scc,CdmiServerApplication,8,7,0,0,3,2,1,2,1,2
cdmi-server,edu.kit.scc,JerseyConfig,47,0,0,0,13,0,1,0,1,0
cdmi-server,edu.kit.scc,Utils,3,1110,0,4,1,12,1,5,1,3
cdmi-server,edu.kit.scc,CdmiRestController,545,642,71,41,120,153,45,24,1,12
cdmi-server,org.snia.cdmiserver.model,Container,227,540,21,45,46,80,46,29,25,17
cdmi-server,org.snia.cdmiserver.model,DataObject,266,493,24,40,56,68,55,19,31,11
cdmi-server,org.snia.cdmiserver.model,Account,3,0,0,0,1,0,1,0,1,0
cdmi-server,org.snia.cdmiserver.model,Capability,31,343,3,29,12,53,11,26,8,13
cdmi-server,org.snia.cdmiserver.model,Queue,3,0,0,0,1,0,1,0,1,0
cdmi-server,org.snia.cdmiserver.model,CdmiObject,5,106,5,9,1,23,5,11,0,9
cdmi-server,org.snia.cdmiserver.model,Domain,518,0,28,0,82,0,44,0,30,0
cdmi-server,edu.kit.scc.http,CustomSslContext.new X509TrustManager() {...},1,6,0,0,1,3,1,3,1,3
cdmi-server,edu.kit.scc.http,NullHostNameVerifier,2,3,0,0,1,1,1,1,1,1
cdmi-server,edu.kit.scc.http,CustomSslContext,152,20,16,0,37,5,10,1,2,1
cdmi-server,edu.kit.scc.http,HttpResponse,38,12,2,0,3,5,4,2,3,2
cdmi-server,edu.kit.scc.http,CustomUrlConnection,26,60,1,1,9,20,2,3,1,3
cdmi-server,edu.kit.scc.http,HttpClient,159,194,19,17,16,41,18,12,2,10
